ID	TaxID	Genus	Species	nonitalic1	nonitalic2	subsp	Assembly	Family	Type
Aristastoma_oeconomicum_CBS_104.47	2074774	Aristastoma	oeconomicum	'CBS'	'104.47'	''	GCA_052323795.1	NA	''
Coniothyrina_agaves_CBS470.69	1439733	Coniothyrina	agaves	'CBS'	'470.69'	''	GCA_052323775.1	NA	''
Coniothyrium_palmarum_CBS400.71	300248	Coniothyrium	palmarum	'CBS'	'400.71'	''	GCA_052323755.1	Coniothyriaceae	''
Coniothyrium_telephii_CBS188.71	798078	Coniothyrium	telephii	'CBS'	'188.71'	''	GCA_052323735.1	Coniothyriaceae	''
Foliophoma_fallens_CBS284.70	2012453	Foliophoma	fallens	'CBS'	'284.7'	''	GCA_052323715.1	NA	''
Hazslinszkyomyces_aptrootii_CBS483.95	2012455	Hazslinszkyomyces	aptrootii	'CBS'	'483.95'	''	GCA_052323695.1	Coniothyriaceae	'T'
Helicoceras_oryzae_CBS194.31	2081294	Helicoceras	oryzae	'CBS'	'194.31'	''	GCA_052323675.1	NA	'T'
Leptosphaerulina_nitida_CBS450.84	2075124	Leptosphaerulina	nitida	'CBS'	'450.84'	''	GCA_052323655.1	Didymellaceae	'T'
Neoconiothyrium_persooniae_CBS143175	2093506	Neoconiothyrium	persooniae	'CBS'	'143175'	''	GCA_052323635.1	Coniothyriaceae	'T'
Neophaeosphaeria_filamentosa_CBS102202	125371	Neophaeosphaeria	filamentosa	'CBS'	'102202'	''	GCA_052323615.1	Leptosphaeriaceae	''
Paraleptosphaeria_nitschkei_CBS306.51	1075100	Paraleptosphaeria	nitschkei	'CBS'	'306.51'	''	GCA_052323595.1	Leptosphaeriaceae	'T'
Paraleptosphaeria_praetermissa_CBS114591	1075102	Paraleptosphaeria	praetermissa	'CBS'	'114591'	''	GCA_052323575.1	Leptosphaeriaceae	''
Querciphoma_carteri_CBS105.91	1077356	Querciphoma	carteri	'CBS'	'105.91'	''	GCA_052323555.1	Leptosphaeriaceae	''
Alternaria_alternata	5599	Alternaria	alternata	''	''	''	GCF_001642055.1	Pleosporaceae	''
Bipolaris_maydis	5016	Bipolaris	maydis	''	''	''	GCF_028858645.1	Pleosporaceae	''
Clathrospora_elynae	706981	Clathrospora	elynae	''	''	''	GCA_010015635.1	Diademaceae	''
Cucurbitaria_berberidis_CBS_394.84	1168544	Cucurbitaria	berberidis	'CBS'	'394.84'	''	GCF_010015615.1	Cucurbitariaceae	''
Curvularia_lunata	5503	Curvularia	lunata	''	''	''	GCA_005212705.1	Pleosporaceae	''
Decorospora_gaudefroyi	184978	Decorospora	gaudefroyi	''	''	''	GCA_010015605.1	Pleosporaceae	''
Drechslera_avenae	33199	Drechslera	avenae	''	''	''	GCA_034640345.1	Pleosporaceae	''
Exserohilum_turcica_Et28A	671987	Exserohilum	turcica	'Et28A'	''	''	GCF_000359705.1	Pleosporaceae	''
Neocucurbitaria_cava	798079	Neocucurbitaria	cava	''	''	''	GCA_027946455.1	Cucurbitariaceae	''
Paradendryphiella_salina	179392	Paradendryphiella	salina	''	''	''	GCA_900634815.1	Pleosporaceae	''
Parafenestella_ontariensis	2911076	Parafenestella	ontariensis	''	''	''	GCA_021596325.1	Cucurbitariaceae	''
Parastagonospora_nodorum_SN15	321614	Parastagonospora	nodorum	'SN15'	''	''	GCF_000146915.1	Phaeosphaeriaceae	''
Plenodomus_biglobosus	220672	Plenodomus	biglobosus	''	''	''	GCA_022343325.1	Leptosphaeriaceae	''
Pseudopyrenochaeta_lycopersici	285811	Pseudopyrenochaeta	lycopersici	''	''	''	GCA_003313425.1	Pseudopyrenochaetaceae	''
Pyrenophora_graminea	5028	Pyrenophora	graminea	''	''	''	GCA_012365135.1	Pleosporaceae	''
Pyrenophora_seminiperda_CCB06	1302712	Pyrenophora	seminiperda	'CCB06'	''	''	GCA_000465215.2	Pleosporaceae	''
Pyrenophora_teres_f._maculata	97480	Pyrenophora	teres	'f.'	''	'maculata'	GCA_014334815.1	Pleosporaceae	''
Pyrenophora_tritici-repentis	45151	Pyrenophora	tritici-repentis	''	''	''	GCF_003171515.1	Pleosporaceae	''
Sphaerellopsis_filum	278952	Sphaerellopsis	filum	''	''	''	GCA_041753865.1	Leptosphaeriaceae	''
Stemphylium_vesicarium	119933	Stemphylium	vesicarium	''	''	''	GCA_004380135.1	Pleosporaceae	''
Coniothyrium_glycines_LW.SEE.SI	1077358	Coniothyrium	glycines	''	''	''	GCA_050859405.1	Coniothyriaceae	''
