ID,nonitalic1,Genus,Species,nonitalic2,genbank,Type
Aristastoma_guttulosum_JF825548,'',Aristastoma,' guttulosum','',JF825548,''
Aristastoma_oeconomicum_MG856173,'',Aristastoma,' oeconomicum','  CBS 104.47',MG856173,''
Coniothyrium_dolichi_CBS124140_JF740183,'',Coniothyrium,' dolichi','  CBS 124140',JF740183,''
Coniothyrium_dolichi_CBS124143_JF740182,'',Coniothyrium,' dolichi','  CBS 124143',JF740182,''
Coniothyrium_glycines_KAB.5_OR526867,'',Coniothyrium,' glycines','  KAB.5',OR526867,''
Coniothyrium_telephii_CBS188_71_MH860059,'',Coniothyrium,' telephii','  CBS 188.71',MH860059,''
Hazslinszkyomyces_aptrootii_CBS483_95,'',Hazslinszkyomyces,' aptrootii','  CBS 483.95',KY929149,'T'
Helicoceras_oryzae_MG855182,'',Helicoceras,' oryzae','  CBS 194.31',MG855182,'T'
Neoconiothyrium_persooniae_CBS143175,'',Neoconiothyrium,' persooniae','  CBS 143175',MG386041,'T'
Paraleptosphaeria_praetermissa_CBS114591,'',Paraleptosphaeria,' praetermissa','  CBS 114591',JF740241,''
Querciphoma_carteri_CBS105_91_KF251209,'',Querciphoma,' carteri','  CBS 105.91',KF251209,''
Querciphoma_minuta_ON710938,'',Querciphoma,' minuta','  NWFVA6594',ON710938,''
Dothideomycetes_sp_11379_GQ153261,' Dothideomycetes','','sp.','  11379',GQ153261,''
Dothideomycetes_sp_CMW57589_PV405790,' Dothideomycetes','','sp.','  CMW 57589',PV405790,''
Fungal_endophyte_9057_EF419982,' Fungal endophyte','','sp.','  9057',EF419982,''
Fungal_endophyte_9059_EF419930,' Fungal endophyte','','sp.','  9059',EF419930,''
Fungal_endophyte_CAW20_GQ249889,' Fungal endophyte','','sp.','  CAW20',GQ249889,''
Uncultured_Soil_fungus_DQ420930,' Uncultured soil fungus','','','Clone 133-33',DQ420930,''
Uncultured_Soil_fungus_DQ420931,' Uncultured soil fungus','','','Clone 133-40',DQ420931,''
Uncultured_Soil_fungus_DQ420935,' Uncultured soil fungus','','','Clone 137-38',DQ420935,''
Uncultured_Soil_fungus_DQ420950,' Uncultured soil fungus','','','Clone 174-42',DQ420950,''
Uncultured_Soil_fungus_DQ420952,' Uncultured soil fungus','','','Clone 174-59',DQ420952,''
Ochrocladosporium_KX815470,'',Ochrocladosporium,'','sp.  10-14',KX815470.1,''
Ocrhocladosporium_FC62_MW033357,'',Ochrocladosporium,'','sp. FC62-1',MW033357.1,''
Coniothyrium_glycines_LWSSESI_OR526889,'',Coniothyrium,' glycines',' LW.SEE.SI',OR526889,''
Coniothyrium_glycines_IMI294986_ON230316,'',Coniothyrium,' glycines',' IMI294986',ON230316,''
Coniothyrium_glycines_EJMA.T143,'',Coniothyrium,' glycines',' EJMA.T143',OR526824.1,''
